psi,theta,phi,x,y,z
-3.141592654,0.287700074,0,-0.283747581,-3.47E-17,0.95889901
-3.141592654,0.304577408,0,-0.29989006,-3.67E-17,0.953973769
-3.141592654,0.321454742,0,-0.31594712,-3.87E-17,0.948776801
-3.141592654,0.338332075,0,-0.331914185,-4.06E-17,0.943309585
-3.141592654,0.355209409,0,-0.34778671,-4.26E-17,0.93757368
-3.141592654,0.372086743,0,-0.363560171,-4.45E-17,0.931570718
-3.141592654,0.388964077,0,-0.379230077,-4.64E-17,0.925302409
-3.141592654,0.405841411,0,-0.394791964,-4.83E-17,0.91877054
-3.141592654,0.422718745,0,-0.410241399,-5.02E-17,0.91197697
-3.141592654,0.439596079,0,-0.425573982,-5.21E-17,0.904923635
-3.141592654,0.456473413,0,-0.440785345,-5.40E-17,0.897612544
-3.141592654,0.473350746,0,-0.455871157,-5.58E-17,0.890045779
-3.141592654,0.49022808,0,-0.470827119,-5.77E-17,0.882225495
-3.141592654,0.507105414,0,-0.485648971,-5.95E-17,0.87415392
-3.141592654,0.523982748,0,-0.500332493,-6.13E-17,0.865833354
-3.141592654,0.540860082,0,-0.514873501,-6.31E-17,0.857266165
-3.141592654,0.557737416,0,-0.529267854,-6.48E-17,0.848454795
-3.141592654,0.57461475,0,-0.543511451,-6.66E-17,0.839401753
-3.141592654,0.591492084,0,-0.557600236,-6.83E-17,0.830109617
-3.141592654,0.608369417,0,-0.571530195,-7.00E-17,0.820581036
-3.141592654,0.625246751,0,-0.585297361,-7.17E-17,0.810818721
-3.141592654,0.642124085,0,-0.598897813,-7.33E-17,0.800825455
-3.141592654,0.659001419,0,-0.612327675,-7.50E-17,0.790604084
-3.141592654,0.675878753,0,-0.625583124,-7.66E-17,0.780157519
-3.141592654,0.692756087,0,-0.638660383,-7.82E-17,0.769488736
-3.141592654,0.709633421,0,-0.651555727,-7.98E-17,0.758600774
-3.141592654,0.726510754,0,-0.664265484,-8.13E-17,0.747496733
